TIMESTAMP,DSWRF_SFC_0000,DSWRF_SFC_0001,DSWRF_SFC_0002,DSWRF_SFC_0003,DSWRF_SFC_0004,DSWRF_SFC_0005,DSWRF_SFC_0006,DSWRF_SFC_0007,DSWRF_SFC_0008,DSWRF_SFC_0009,DSWRF_SFC_0010,DSWRF_SFC_0011,DSWRF_SFC_0012,DSWRF_SFC_0013,DSWRF_SFC_0014,DSWRF_SFC_0015,DSWRF_SFC_0016,DSWRF_SFC_0017,DSWRF_SFC_0018,DSWRF_SFC_0019,DSWRF_SFC_0020,DSWRF_SFC_0021,DSWRF_SFC_0022,DSWRF_SFC_0023,DSWRF_SFC_0024,TCC_EATM_0000,TCC_EATM_0001,TCC_EATM_0002,TCC_EATM_0003,TCC_EATM_0004,TCC_EATM_0005,TCC_EATM_0006,TCC_EATM_0007,TCC_EATM_0008,TCC_EATM_0009,TCC_EATM_0010,TCC_EATM_0011,TCC_EATM_0012,TCC_EATM_0013,TCC_EATM_0014,TCC_EATM_0015,TCC_EATM_0016,TCC_EATM_0017,TCC_EATM_0018,TCC_EATM_0019,TCC_EATM_0020,TCC_EATM_0021,TCC_EATM_0022,TCC_EATM_0023,TCC_EATM_0024,VIS_SFC_0000,VIS_SFC_0001,VIS_SFC_0002,VIS_SFC_0003,VIS_SFC_0004,VIS_SFC_0005,VIS_SFC_0006,VIS_SFC_0007,VIS_SFC_0008,VIS_SFC_0009,VIS_SFC_0010,VIS_SFC_0011,VIS_SFC_0012,VIS_SFC_0013,VIS_SFC_0014,VIS_SFC_0015,VIS_SFC_0016,VIS_SFC_0017,VIS_SFC_0018,VIS_SFC_0019,VIS_SFC_0020,VIS_SFC_0021,VIS_SFC_0022,VIS_SFC_0023,VIS_SFC_0024,time_of_day_cos,time_of_day_sin,time_of_year_cos,time_of_year_sin,SOLARRADIATION_0003
'2018-03-30 00:00:00+00:00',0,0,0,0,0,0,0,0,0,0,0,0,58.200001,272.100006,439,582,768,784.269348,837.385132,774.419922,742.948853,554.005981,365,131,0,39,100,100,100,100,100,100,100,84,100,100,83,78,25,64,99,91,86,94,91,29,57,16,32,31,23300,22900,7700,6000,5000,2900,2300,24100,24100,24100,14700,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,1,-0,-0.150055,0.988678,1.35
'2018-03-30 06:00:00+00:00',0,0,0,0,0,0,41.600002,218.600006,462,669,809.183899,907.177795,917.807739,838.225891,735.405701,419.042114,262,121,0,0,0,0,0,0,0,100,87,92,92,92,86,66,95,96,30,47,48,52,62,45,54,54,35,36,11,3,0,0,0,0,22400,24100,22900,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,0,1,-0.154309,0.988023,1.35
'2018-03-30 12:00:00+00:00',92.300003,162.600006,368,549,668,804.280212,871.916443,812.615418,711.428284,526.034912,341,141,0,0,0,0,0,0,0,0,0,0,0,0,80.599998,52,86,100,95,99,73,86,82,80,68,46,4,1,1,0,0,0,0,0,0,0,0,0,0,1,18300,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,-1,0,-0.158559,0.987349,581.3
'2018-03-30 18:00:00+00:00',932.170166,888.010559,694.130371,504.400269,319,141,0,0,0,0,0,0,0,0,0,0,0,0,80.599998,309.300018,541,740,884.671265,968.663147,979.230957,30,0,71,71,72,4,5,1,0,51,67,16,70,48,0,0,0,0,0,0,0,0,0,0,0,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,-0,-1,-0.162807,0.986658,545.4
'2018-03-31 00:00:00+00:00',0,0,0,0,0,0,0,0,0,0,0,0,80.5,308.300018,539,737,882,964.108887,975.130737,914,787,603,384,148,0,0,0,32,37,28,15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,1,0,-0.167052,0.985948,0
'2018-03-31 06:00:00+00:00',0,0,0,0,0,0,79.800003,305.700012,534,732,876.421875,958.859863,970.213379,910.053711,784.094299,601,384,148,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,0,1,-0.171293,0.98522,0.6
'2018-03-31 12:00:00+00:00',140.900009,309.300018,537,734,879.070801,961.835754,974.604492,914.020935,788,606,387,151,0,0,0,0,0,0,0,0,0,0,0,0,68.700005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,16,32,79,26,0,0,0,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,-1,0,-0.175531,0.984474,691
'2018-03-31 18:00:00+00:00',962.82312,913.023987,786,604,386,150,0,0,0,0,0,0,0,0,0,0,0,0,79.800003,299,518,714,856.09137,936.56842,928.291565,0,0,0,0,0,0,0,0,0,0,0,0,1,16,95,82,20,0,0,1,6,2,0,0,17,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,-0,-1,-0.179767,0.983709,596.6
'2018-04-01 00:00:00+00:00',0,0,0,0,0,0,0,0,0,0,0,0,81.400002,302.5,524,715,852.99469,924.493957,920.982849,856.284241,757.401916,584.694885,373,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,4,13,22,34,6,2,0,13,0,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,1,-0,-0.183998,0.982927,1.33
'2018-04-01 06:00:00+00:00',0,0,0,0,0,0,80.5,301.200012,524,715,850,910.751465,914.797852,881.753357,758.015076,538.884399,333,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,9,33,42,5,6,15,25,3,20,15,0,0,0,0,0,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,24100,0,1,-0.188227,0.982126,0.9
